"2013-01-01"	38773
"2013-01-02"	48540
"2013-01-03"	49426
"2013-01-04"	46589
"2013-01-05"	42792
"2013-01-06"	44422
"2013-01-07"	47638
"2013-01-08"	55166
"2013-01-09"	59506
"2013-01-10"	71702
"2013-01-11"	55439
"2013-01-12"	45579
"2013-01-13"	45291
"2013-01-14"	9218
"2013-01-15"	50969
"2013-01-16"	52686
"2013-01-17"	52312
"2013-01-18"	45547
"2013-01-19"	36983
"2013-01-20"	41532
"2013-01-21"	47003
"2013-01-22"	55503
"2013-01-23"	51659
"2013-01-24"	47391
"2013-01-25"	47029
"2013-01-26"	46876
"2013-01-27"	47290
"2013-01-28"	58685
"2013-01-29"	57129
"2013-01-30"	55417
"2013-01-31"	62276
"2013-02-01"	948
