"2013-01-01"	35552
"2013-01-02"	45656
"2013-01-03"	46475
"2013-01-04"	43929
"2013-01-05"	38795
"2013-01-06"	39918
"2013-01-07"	45540
"2013-01-08"	51927
"2013-01-09"	54569
"2013-01-10"	63649
"2013-01-11"	49805
"2013-01-12"	40257
"2013-01-13"	42646
"2013-01-14"	8839
"2013-01-15"	49126
"2013-01-16"	50173
"2013-01-17"	50155
"2013-01-18"	43095
"2013-01-19"	34402
"2013-01-20"	38598
"2013-01-21"	45205
"2013-01-22"	51941
"2013-01-23"	49333
"2013-01-24"	45840
"2013-01-25"	44109
"2013-01-26"	44341
"2013-01-27"	45562
"2013-01-28"	56030
"2013-01-29"	53981
"2013-01-30"	52534
"2013-01-31"	57158
"2013-02-01"	904
